Wikidata label,wikidata ID,Project Gutenberg ID,Project Gutenberg title,
Through the Looking-Glass,Q220331,12,Through the Looking-Glass,
Peter and Wendy,Q3435337,16,Peter Pan,
O Pioneers!,Q2008343,24,O Pioneers!,
Herland (novel),Q5739278,32,Herland,
The Scarlet Letter,Q907568,33,The Scarlet Letter,
The Time Machine,Q627333,35,The Time Machine,
The War of the Worlds,Q213019,36,The War of the Worlds,
Strange Case of Dr Jekyll and Mr Hyde,Q217352,42,The Strange Case of Dr. Jekyll and Mr. Hyde,
The Song of the Lark,Q7765253,44,The Song of the Lark,
Anne of Green Gables,Q565911,45,Anne of Green Gables,
Anne of the Island,Q1352419,51,Anne of the Island,
The Marvelous Land of Oz,Q1659447,54,The Marvelous Land of Oz,
Paradise Regained,Q2307419,58,Paradise Regained,
Discourse on the Method,Q731224,59,Discourse on the Method of Rightly Conducting One's Reason and of Seeking Truth in the Sciences,
The Scarlet Pimpernel,Q1249536,60,The Scarlet Pimpernel,
The Red Badge of Courage,Q1219239,73,The Red Badge of Courage: An Episode of the American Civil War,
The Adventures of Tom Sawyer,Q326914,74,The Adventures of Tom Sawyer,
Adventures of Huckleberry Finn,Q215410,76,Adventures of Huckleberry Finn,
The House of the Seven Gables,Q1141732,77,The House of the Seven Gables,
Ivanhoe,Q840974,82,Ivanhoe: A Romance,
Around the Moon,Q1327411,83,"From the Earth to the Moon; and, Round the Moon",
From the Earth to the Moon,Q53592,83,"From the Earth to the Moon; and, Round the Moon",
Frankenstein,Q150827,84,"Frankenstein; Or, The Modern Prometheus",
A Connecticut Yankee in King Arthur's Court,Q848612,86,A Connecticut Yankee in King Arthur's Court,
Tom Sawyer Abroad,Q558971,91,Tom Sawyer Abroad,
"Tom Sawyer, Detective",Q4460113,93,"Tom Sawyer, Detective",
Alexander's Bridge,Q4718102,94,Alexander's Bridge,
The Prisoner of Zenda,Q1193766,95,The Prisoner of Zenda,
Flatland,Q728312,97,Flatland: A Romance of Many Dimensions,
A Tale of Two Cities,Q308918,98,A Tale of Two Cities,
Around the World in Eighty Days,Q1219561,103,Around the World in Eighty Days,
Persuasion (novel),Q333179,105,Persuasion,
Far from the Madding Crowd,Q5642996,107,Far from the Madding Crowd,
The Adventure of the Three Students,Q961957,108,The Return of Sherlock Holmes,
The Return of Sherlock Holmes,Q725752,108,The Return of Sherlock Holmes,
Tess of the d'Urbervilles,Q649409,110,Tess of the d'Urbervilles: A Pure Woman,
A Tramp Abroad,Q1004825,119,A Tramp Abroad,
Treasure Island,Q185118,120,Treasure Island,
Northanger Abbey,Q477508,121,Northanger Abbey,
The Return of the Native,Q141568,122,The Return of the Native,
At the Earth's Core (novel),Q2870358,123,At the Earth's Core,
The Poison Belt,Q2660166,126,The Poison Belt,
The Art of War,Q8251,132,The Art of War,
Les Misérables,Q180736,135,Les Misérables,
The Lost World (Conan Doyle novel),Q785255,139,The Lost World,
The Jungle,Q260205,140,The Jungle,
Mansfield Park,Q469690,141,Mansfield Park,
The Voyage Out,Q599198,144,The Voyage Out,
Middlemarch,Q313129,145,Middlemarch,
A Little Princess,Q10483376,146,A Little Princess\•Being the whole story of Sara Crewe now told for the first time,
The Autobiography of Benjamin Franklin,Q7714957,148,The Autobiography of Benjamin Franklin,
Jude the Obscure,Q1248773,153,Jude the Obscure,
The Rise of Silas Lapham,Q7760892,154,The Rise of Silas Lapham,
The Moonstone,Q2362563,155,The Moonstone,
Daddy-Long-Legs (novel),Q1156969,157,Daddy-Long-Legs,
Emma (novel),Q223880,158,Emma,
The Island of Doctor Moreau,Q718268,159,The Island of Doctor Moreau,
The Awakening (Chopin novel),Q1567505,160,"The Awakening, and Selected Short Stories",
Sense and Sensibility,Q274744,161,Sense and Sensibility,
Twenty Thousand Leagues Under the Sea,Q183565,164,Twenty Thousand Leagues under the Sea,
McTeague,Q11772710,165,McTeague: A Story of San Francisco,
Summer (novel),Q7637251,166,Summer,
The Well at the World's End,Q2384134,169,The Well at the World's End: A Tale,
Charlotte Temple,Q5086165,171,Charlotte Temple,
The Haunted Bookshop,Q7738999,172,The Haunted Bookshop,
The Mystery of Dr. Fu-Manchu,Q5979985,173,The Insidious Dr. Fu Manchu,
The Picture of Dorian Gray,Q82464,174,The Picture of Dorian Gray,
The Phantom of the Opera,Q272506,175,The Phantom of the Opera,
Flatland,Q728312,201,Flatland: A Romance of Many Dimensions (Illustrated),
Uncle Tom's Cabin,Q2222,203,Uncle Tom's Cabin,
Sons and Lovers,Q80771,217,Sons and Lovers,
The Secret Sharer,Q1198668,220,The Secret Sharer,
The Moon and Sixpence,Q1792726,222,The Moon and Sixpence,
A Pair of Blue Eyes,Q2931240,224,A Pair of Blue Eyes,
Child Christopher and Goldilind the Fair,Q5097717,234,Child Christopher and Goldilind the Fair,
The Jungle Book,Q189509,236,The Jungle Book,
Dear Enemy (novel),Q5246853,238,Dear Enemy,
A Study in Scarlet,Q223131,244,A Study in Scarlet,
Life on the Mississippi,Q1131648,245,Life on the Mississippi,
The Touchstone,Q7769676,267,The Touchstone,
The Octopus: A Story of California,Q7754678,268,The Octopus : A Story of California,
Beasts and Super-Beasts,Q4876883,269,Beasts and Super-Beasts,
Black Beauty,Q880092,271,Black Beauty,
The Reef (novel),Q7760006,283,The Reef,
The House of Mirth,Q6474536,284,The House of Mirth,
The Lost Continent: The Story of Atlantis,Q7748596,285,The Lost Continent,
The Stark Munro Letters,Q5295849,290,"The Stark Munro Letters\•Being series of twelve letters written by J. Stark Munro, M.B., to his friend and former fellow-student, Herbert Swanborough, of Lowell, Massachusetts, during the years 1881-1884",
Three Men in a Boat,Q955910,308,Three Men in a Boat,
Before Adam,Q2873306,310,Before Adam,
John Barleycorn (novel),Q3180997,318,John Barleycorn,
